nb,od,hub-x,thd thk,rf dia,rf height,socket depth,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bld thk,bolts wt rf
0+1/2,95,38,21,34.9,2,10.0,66.7,4 Holes,1/2'',65,5/8'' Dia,M14,1.2 kg,12.7,0.5 kg
0+3/4,115,48,24,42.9,2,11.0,82.6,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,14.3,0.71 kg
1,125,54,25,50.8,2,13.0,88.9,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,15.9,0.71 kg
1+1/4,135,64,25,63.5,2,14.0,98.4,4 Holes,5/8'',85,3/4'' Dia,M16,1.8 kg,17.5,0.77 kg
1+1/2,155,70,29,73.0,2,16.0,114.3,4 Holes,3/4'',90,7/8'' Dia,M20,2.7 kg,19.1,1.37 kg
2,165,84,32,92.1,2,17.0,127.0,8 Holes,5/8'',90,3/4'' Dia,M16,3.2 kg,20.7,1.59 kg
2+1/2,190,100,37,104.8,2,19.0,149.2,8 Holes,3/4'',100,7/8'' Dia,M20,4.6 kg,23.9,2.91 kg
3,210,117,41,127.0,2,21.0,168.3,8 Holes,3/4'',110,7/8'' Dia,M20,5.9 kg,27.0,3.08 kg
