nb,od,hub-x,thd thk,rf dia,rf height,socket depth,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bld thk,bolts wt rf
0+1/2,90,30,14,34.9,2,10.0,60.3,4 Holes,1/2'',55,5/8'' Dia,M14,0.8 kg,9.6,0.46 kg
0+3/4,100,38,14,42.9,2,11.0,69.9,4 Holes,1/2'',65,5/8'' Dia,M14,0.9 kg,11.2,0.5 kg
1,110,49,16,50.8,2,13.0,79.4,4 Holes,1/2'',65,5/8'' Dia,M14,0.9 kg,12.7,0.5 kg
1+1/4,115,59,19,63.5,2,14.0,88.9,4 Holes,1/2'',70,5/8'' Dia,M14,1.4 kg,14.3,0.52 kg
1+1/2,125,65,21,73.0,2,16.0,98.4,4 Holes,1/2'',70,5/8'' Dia,M14,1.4 kg,15.9,0.52 kg
2,150,78,24,92.1,2,17.0,120.7,4 Holes,5/8'',85,3/4'' Dia,M16,2.3 kg,17.5,0.77 kg
2+1/2,180,90,27,104.8,2,19.0,139.7,4 Holes,5/8'',90,3/4'' Dia,M16,3.2 kg,22.225,0.79 kg
3,190,108,29,127.0,2,21.0,152.4,4 Holes,5/8'',90,3/4'' Dia,M16,3.7 kg,20.7,0.79 kg
