nb,od,hub-x,thd thk,rf dia,rf height,socket depth,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bld thk,bolts wt rf
0+1/2,95,38,22,34.9,7,10.0,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.3 kg,22,0.54 kg
0+3/4,115,48,25,42.9,7,11.0,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,25,0.79 kg
1,125,54,27,50.8,7,13.0,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,27,0.79 kg
1+1/4,135,64,29,63.5,7,14.0,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,29,0.82 kg
1+1/2,155,70,32,73.0,7,16.0,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.2 kg,32,1.54 kg
2,165,84,37,92.1,7,17.0,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.1 kg,37,1.8 kg
2+1/2,190,100,41,104.8,7,19.0,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,5.9 kg,41,3.24 kg
3,210,117,46,127.0,7,21.0,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,7.3 kg,46,3.32 kg
