nb,od,thickness,hub-x,hub-a,thd thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,so kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,95,12.7,38,21.3,21,51.0,5.54,R11,3,10.0,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.2 kg,34.14,5.54,7.14,0.54 kg,23*
0+3/4,115,14.3,48,26.7,24,63.5,6.35,13,4,11.0,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,42.88,6.35,8.74,0.79 kg,23*
1,125,15.9,54,33.4,25,70.0,6.35,16,4,13.0,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,50.8,6.35,8.74,0.79 kg,23*
1+1/4,135,17.5,64,42.2,25,79.5,6.35,18,4,14.0,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,1.8 kg,60.33,6.35,8.74,0.82 kg,23*
1+1/2,155,19.1,70,48.3,29,90.5,6.35,20,4,16.0,114.3,4 Holes,3/4'',100,7/8'' Dia,M20,2.7 kg,68.27,6.35,8.74,1.45 kg,23*
2,165,20.7,84,60.3,32,108.0,7.92,23,6,17.0,127.0,8 Holes,5/8'',100,3/4'' Dia,M16,3.2 kg,82.55,7.92,11.91,1.69 kg,23*
2+1/2,190,23.9,100,73.0,37,127.0,7.92,26,6,19.0,149.2,8 Holes,3/4'',115,7/8'' Dia,M20,4.6 kg,101.6,7.92,11.91,3.16 kg,23*
3,210,27.0,117,88.9,41,146.0,7.92,31,6,21.0,168.3,8 Holes,3/4'',120,7/8'' Dia,M20,5.9 kg,123.83,7.92,11.91,3.24 kg,23*
