nb,od,thickness,hub-x,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf,As Required
0+1/2,95,12.7,38,34.9,2,66.7,4 Holes,1/2'',65,5/8'' Dia,M14,1.2 kg,0.5 kg,As Required
0+3/4,115,14.3,48,42.9,2,82.6,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,0.71 kg,As Required
1,125,15.9,54,50.8,2,88.9,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,0.71 kg,As Required
1+1/4,135,17.5,64,63.5,2,98.4,4 Holes,5/8'',85,3/4'' Dia,M16,1.8 kg,0.77 kg,As Required
1+1/2,155,19.1,70,73.0,2,114.3,4 Holes,3/4'',90,7/8'' Dia,M20,2.7 kg,1.37 kg,As Required
2,165,20.7,84,92.1,2,127.0,8 Holes,5/8'',90,3/4'' Dia,M16,3.2 kg,1.59 kg,As Required
2+1/2,190,23.9,100,104.8,2,149.2,8 Holes,3/4'',100,7/8'' Dia,M20,4.6 kg,2.91 kg,As Required
3,210,27.0,117,127.0,2,168.3,8 Holes,3/4'',110,7/8'' Dia,M20,5.9 kg,3.08 kg,As Required
4,255,30.2,146,157.2,2,200.0,8 Holes,3/4'',115,7/8'' Dia,M20,10.0 kg,3.16 kg,As Required
5,280,33.4,178,185.7,2,235.0,8 Holes,3/4'',120,7/8'' Dia,M20,12.7 kg,3.24 kg,As Required
6,320,35.0,206,215.9,2,269.9,12 Holes,3/4'',120,7/8'' Dia,M20,17.7 kg,4.86 kg,As Required
8,380,39.7,260,269.9,2,330.2,12 Holes,7/8'',140,1'' Dia,M24,26.0 kg,8.29 kg,As Required
10,445,46.1,321,323.8,2,387.4,16 Holes,1'',160,1+1/8'' Dia,M27,36.0 kg,16.25 kg,As Required
12,520,49.3,375,381.0,2,450.8,16 Holes,1+1/8'',170,1+1/4'' Dia,M30,52.0 kg,21.77 kg,As Required
