nb,od,thickness,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,bld kg,bolts wt rf
0+1/2,95,12.7,34.9,2,66.7,4 Holes,1/2'',65,5/8'' Dia,M14,1.4 kg,0.5 kg
0+3/4,115,14.3,42.9,2,82.6,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,0.71 kg
1,125,15.9,50.8,2,88.9,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,0.71 kg
1+1/4,135,17.5,63.5,2,98.4,4 Holes,5/8'',85,3/4'' Dia,M16,1.8 kg,0.77 kg
1+1/2,155,19.1,73.0,2,114.3,4 Holes,3/4'',90,7/8'' Dia,M20,2.7 kg,1.37 kg
2,165,20.7,92.1,2,127.0,8 Holes,5/8'',90,3/4'' Dia,M16,3.7 kg,1.59 kg
2+1/2,190,23.9,104.8,2,149.2,8 Holes,3/4'',100,7/8'' Dia,M20,5.5 kg,2.91 kg
3,210,27.0,127.0,2,168.3,8 Holes,3/4'',110,7/8'' Dia,M20,7.3 kg,3.08 kg
3+1/2,230,28.6,139.7,2,184.2,8 Holes,3/4'',110,7/8'' Dia,M20,9.6 kg,3.08 kg
4,255,30.2,157.2,2,200.0,8 Holes,3/4'',115,7/8'' Dia,M20,12.3 kg,3.16 kg
5,280,33.4,185.7,2,235.0,8 Holes,3/4'',120,7/8'' Dia,M20,15.9 kg,3.24 kg
6,320,35.0,215.9,2,269.9,12 Holes,3/4'',120,7/8'' Dia,M20,22.7 kg,4.86 kg
8,380,39.7,269.9,2,330.2,12 Holes,7/8'',140,1'' Dia,M24,36.0 kg,8.29 kg
10,445,46.1,323.8,2,387.4,16 Holes,1'',160,1+1/8'' Dia,M27,57.0 kg,16.25 kg
12,520,49.3,381.0,2,450.8,16 Holes,1+1/8'',170,1+1/4'' Dia,M30,84.0 kg,21.77 kg
14,585,52.4,412.8,2,514.4,20 Holes,1+1/8'',180,1+1/4'' Dia,M30,113.0 kg,28.14 kg
16,650,55.6,469.9,2,571.5,20 Holes,1+1/4'',190,1+3/8'' Dia,M33,134.0 kg,36.21 kg
18,710,58.8,533.4,2,628.6,24 Holes,1+1/4'',195,1+3/8'' Dia,M33,181.0 kg,44.16 kg
20,775,62.0,584.2,2,685.8,24 Holes,1+1/4'',205,1+3/8'' Dia,M33,230.0 kg,45.52 kg
24,915,68.3,692.2,2,812.8,24 Holes,1+1/2'',230,1+5/8'' Dia,M39,359.0 kg,76.1 kg
