nb,od,thickness,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,bld kg,bolts wt rf
0+1/2,95,14.3,34.9,7,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.4 kg,0.54 kg
0+3/4,115,15.9,42.9,7,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,0.79 kg
1,125,17.5,50.8,7,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,0.79 kg
1+1/4,135,20.7,63.5,7,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,0.82 kg
1+1/2,155,22.3,73.0,7,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.7 kg,1.54 kg
2,165,25.4,92.1,7,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.6 kg,1.8 kg
2+1/2,190,28.6,104.8,7,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,6.8 kg,3.24 kg
3,210,31.8,127.0,7,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,9.1 kg,3.32 kg
3+1/2,230,35.0,139.7,7,184.2,8 Holes,7/8'',140,1'' Dia,M24,13.2 kg,5.52 kg
4,275,38.1,157.2,7,215.9,8 Holes,7/8'',145,1'' Dia,M24,18.7 kg,5.64 kg
5,330,44.5,185.7,7,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,31.0 kg,8.27 kg
6,355,47.7,215.9,7,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,39.0 kg,12.65 kg
8,420,55.6,269.9,7,349.2,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,64.0 kg,17.44 kg
10,510,63.5,323.8,7,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,105.0 kg,31.28 kg
12,560,66.7,381.0,7,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,134.0 kg,39.66 kg
14,605,69.9,412.8,7,527.0,20 Holes,1+3/8'',235,1+1/2'' Dia,M36,161.0 kg,52.5 kg
16,685,76.2,469.9,7,603.2,20 Holes,1+1/2'',255,1+5/8'' Dia,M39,225.0 kg,67.59 kg
18,745,82.6,533.4,7,654.0,20 Holes,1+5/8'',275,1+3/4'' Dia,M42,286.0 kg,86.03 kg
20,815,88.9,584.2,7,723.9,24 Holes,1+5/8'',285,1+3/4'' Dia,M42,368.0 kg,105.6 kg
24,940,101.6,692.2,7,838.2,24 Holes,1+7/8'',330,2'' Dia,M48,568.0 kg,160.96 kg
