nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
0+1/2,95,14.3,38,21.3,52,51.0,5.54,R11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,0.83 kg,34.14,5.54,7.14,0.54 kg,1.6,59,37.5*,23*,15.76
0+3/4,115,15.9,48,26.7,57,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.35 kg,42.88,6.35,8.74,0.79 kg,1.6,64,37.5*,23*,20.96
1,125,17.5,54,33.4,62,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.79 kg,50.8,6.35,8.74,0.79 kg,1.6,69,37.5*,23*,26.64
1+1/4,135,20.7,64,42.2,67,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.46 kg,60.33,6.35,8.74,0.82 kg,1.6,74,37.5*,23*,35.08
1+1/2,155,22.3,70,48.3,70,90.5,6.35,20,4,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.39 kg,68.27,6.35,8.74,1.54 kg,1.6,77,37.5*,23*,40.94
2,165,25.4,84,60.3,73,108.0,7.92,23,5,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.2 kg,82.55,7.92,11.91,1.8 kg,1.6,80,37.5*,23*,52.48
2+1/2,190,28.6,100,73.0,79,127.0,7.92,26,5,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,6.19 kg,101.6,7.92,11.91,3.24 kg,1.6,86,37.5*,23*,62.68
3,210,31.8,117,88.9,83,146.0,7.92,31,5,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,8.3 kg,123.83,7.92,11.91,3.32 kg,1.6,90,37.5*,23*,77.92
3+1/2,230,35.0,133,101.6,86,159.0,7.92,34,5,184.2,8 Holes,7/8'',140,1'' Dia,M24,10.5 kg,131.78,7.92,11.91,5.52 kg,1.6,93,37.5*,23*,90.12
4,275,38.1,152,114.3,102,175.0,7.92,37,5,215.9,8 Holes,7/8'',145,1'' Dia,M24,17.22 kg,149.23,7.92,11.91,5.64 kg,1.6,109,37.5*,23*,102.26
5,330,44.5,189,141.3,114,210.0,7.92,41,5,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,28.49 kg,180.98,7.92,11.91,8.27 kg,1.6,121,37.5*,23*,128.2
6,355,47.7,222,168.3,117,241.0,7.92,45,5,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,33.58 kg,211.12,7.92,11.91,12.65 kg,1.6,124,37.5*,23*,154.08
8,420,55.6,273,219.1,133,302.0,7.92,49,5,349.2,12 Holes,1+1/8'',195,1+1/4'' Dia,M30,51.98 kg,269.88,7.92,11.91,17.72 kg,1.6,140,37.5*,23*,202.74
10,510,63.5,343,273.0,152,356.0,7.92,53,5,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,85.66 kg,323.85,7.92,11.91,31.28 kg,1.6,159,37.5*,23*,254.46
12,560,66.7,400,323.8,156,413.0,7.92,57,5,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,103.09 kg,381.0,7.92,11.91,39.66 kg,1.6,163,37.5*,23*,303.18
14,605,69.9,432,355.6,165,457.0,7.92,61,5,527.0,20 Holes,1+3/8'',235,1+1/2'' Dia,M36,123.75 kg,419.1,7.92,11.91,52.5 kg,1.6,172,37.5*,23*,333.34
16,685,76.2,495,406.4,178,508.0,7.92,65,5,603.2,20 Holes,1+1/2'',255,1+5/8'' Dia,M39,173.48 kg,469.9,7.92,11.91,67.59 kg,1.6,185,37.5*,23*,381.0
18,745,82.6,546,457.0,184,575.0,7.92,69,5,654.0,20 Holes,1+5/8'',275,1+3/4'' Dia,M42,213.22 kg,533.4,7.92,11.91,86.03 kg,1.6,191,37.5*,23*,428.46
20,815,88.9,610,508.0,190,635.0,9.53,73,5,723.9,24 Holes,1+5/8'',290,1+3/4'' Dia,M42,266.96 kg,584.2,9.53,13.49,106.77 kg,1.6,197,37.5*,23*,477.82
24,940,101.6,718,610.0,203,749.0,11.13,77,6,838.2,24 Holes,1+7/8'',335,2'' Dia,M48,378.96 kg,692.15,11.13,16.66,162.52 kg,1.6,210,37.5*,23*,575.04
