nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
4,275,38.1,152,114.3,102,175.0,7.92,37,5,215.9,8 Holes,7/8'',145,1'' Dia,M24,18.48 kg,149.23,7.92,11.91,5.64 kg,1.6,109,37.5*,23*,92.04
5,330,44.5,189,141.3,114,210.0,7.92,41,5,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,30.62 kg,180.98,7.92,11.91,8.27 kg,1.6,121,37.5*,23*,115.9
6,355,47.7,222,168.3,117,241.0,7.92,45,5,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,36.65 kg,211.12,7.92,11.91,12.65 kg,1.6,124,37.5*,23*,139.76
8,420,55.6,273,219.1,133,302.0,7.92,49,5,349.2,12 Holes,1+1/8'',195,1+1/4'' Dia,M30,58.43 kg,269.88,7.92,11.91,17.72 kg,1.6,140,37.5*,23*,182.58
10,510,63.5,343,273.0,152,356.0,7.92,53,5,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,96.85 kg,323.85,7.92,11.91,31.28 kg,1.6,159,37.5*,23*,230.12
12,560,66.7,400,323.8,156,413.0,7.92,57,5,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,120.02 kg,381.0,7.92,11.91,39.66 kg,1.6,163,37.5*,23*,273.0
14,605,69.9,432,355.6,165,457.0,7.92,61,5,527.0,20 Holes,1+3/8'',235,1+1/2'' Dia,M36,145.48 kg,419.1,7.92,11.91,52.5 kg,1.6,172,37.5*,23*,300.02
16,685,76.2,495,406.4,178,508.0,7.92,65,5,603.2,20 Holes,1+1/2'',255,1+5/8'' Dia,M39,202.91 kg,469.9,7.92,11.91,67.59 kg,1.6,185,37.5*,23*,344.48
18,745,82.6,546,457.0,184,575.0,7.92,69,5,654.0,20 Holes,1+5/8'',275,1+3/4'' Dia,M42,251.92 kg,533.4,7.92,11.91,86.03 kg,1.6,191,37.5*,23*,387.14
20,815,88.9,610,508.0,190,635.0,9.53,73,5,723.9,24 Holes,1+5/8'',290,1+3/4'' Dia,M42,316.6 kg,584.2,9.53,13.49,106.77 kg,1.6,197,37.5*,23*,431.8
24,940,101.6,718,610.0,203,749.0,11.13,77,6,838.2,24 Holes,1+7/8'',335,2'' Dia,M48,458.0 kg,692.15,11.13,16.66,162.52 kg,1.6,210,37.5*,23*,517.96
