nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
4,230,22.3,135,114.3,75,157.2,2,190.5,8 Holes,5/8'',90,3/4'' Dia,M16,8.07 kg,1.59 kg,1.6,77,37.5*,92.04
5,255,22.3,164,141.3,87,185.7,2,215.9,8 Holes,3/4'',95,7/8'' Dia,M20,10.56 kg,2.83 kg,1.6,89,37.5*,115.9
6,280,23.9,192,168.3,87,215.9,2,241.3,8 Holes,3/4'',100,7/8'' Dia,M20,13.21 kg,2.91 kg,1.6,89,37.5*,139.76
8,345,27.0,246,219.1,100,269.9,2,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,23.1 kg,3.08 kg,1.6,102,37.5*,182.58
10,405,28.6,305,273.0,100,323.8,2,362.0,12 Holes,7/8'',115,1'' Dia,M24,31.8 kg,7.4 kg,1.6,102,37.5*,230.12
12,485,30.2,365,323.8,113,381.0,2,431.8,12 Holes,7/8'',120,1'' Dia,M24,51.14 kg,7.58 kg,1.6,115,37.5*,273.0
14,535,33.4,400,355.6,125,412.8,2,476.3,12 Holes,1'',135,1+1/8'' Dia,M27,68.41 kg,11.04 kg,1.6,127,37.5*,300.02
16,595,35.0,457,406.4,125,469.9,2,539.8,16 Holes,1'',135,1+1/8'' Dia,M27,85.79 kg,14.72 kg,1.6,127,37.5*,344.48
18,635,38.1,505,457.2,138,533.4,2,577.9,16 Holes,1+1/8'',145,1+1/4'' Dia,M30,106.63 kg,19.9 kg,1.6,140,37.5*,387.14
20,700,41.3,559,508.0,143,584.2,2,635.0,20 Holes,1+1/8'',160,1+1/4'' Dia,M30,134.52 kg,26.28 kg,1.6,145,37.5*,431.8
24,815,46.1,663,610.0,151,692.2,2,749.3,20 Holes,1+1/4'',170,1+3/8'' Dia,M33,195.48 kg,33.94 kg,1.6,153,37.5*,517.96
