nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
4,255,30.2,146,114.3,84,157.2,2,200.0,8 Holes,3/4'',115,7/8'' Dia,M20,12.63 kg,3.16 kg,1.6,86,37.5*,92.04
5,280,33.4,178,141.3,97,185.7,2,235.0,8 Holes,3/4'',120,7/8'' Dia,M20,17.31 kg,3.24 kg,1.6,99,37.5*,115.9
6,320,35.0,206,168.3,97,215.9,2,269.9,12 Holes,3/4'',120,7/8'' Dia,M20,22.56 kg,4.86 kg,1.6,99,37.5*,139.76
8,380,39.7,260,219.1,110,269.9,2,330.2,12 Holes,7/8'',140,1'' Dia,M24,35.81 kg,8.29 kg,1.6,112,37.5*,182.58
10,445,46.1,321,273.0,116,323.8,2,387.4,16 Holes,1'',160,1+1/8'' Dia,M27,52.78 kg,16.25 kg,1.6,118,37.5*,230.12
12,520,49.3,375,323.8,129,381.0,2,450.8,16 Holes,1+1/8'',170,1+1/4'' Dia,M30,78.26 kg,21.77 kg,1.6,131,37.5*,273.0
14,585,52.4,425,355.6,141,412.8,2,514.4,20 Holes,1+1/8'',180,1+1/4'' Dia,M30,109.15 kg,28.14 kg,1.6,143,37.5*,300.02
16,650,55.6,483,406.4,144,469.9,2,571.5,20 Holes,1+1/4'',190,1+3/8'' Dia,M33,139.08 kg,36.21 kg,1.6,146,37.5*,344.48
18,710,58.8,533,457.0,157,533.4,2,628.6,24 Holes,1+1/4'',195,1+3/8'' Dia,M33,176.05 kg,44.16 kg,1.6,159,37.5*,387.14
20,775,62.0,587,508.0,160,584.2,2,685.8,24 Holes,1+1/4'',205,1+3/8'' Dia,M33,216.42 kg,45.52 kg,1.6,162,37.5*,431.8
24,915,68.3,702,610.0,167,692.2,2,812.8,24 Holes,1+1/2'',230,1+5/8'' Dia,M39,322.26 kg,76.1 kg,1.6,169,37.5*,517.96
