nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
8,380,39.7,260,219.1,110,269.9,2,330.2,12 Holes,7/8'',140,1'' Dia,M24,29.45 kg,8.29 kg,1.6,112,37.5*,206.4
10,445,46.1,321,273.0,116,323.8,2,387.4,16 Holes,1'',160,1+1/8'' Dia,M27,42.06 kg,16.25 kg,1.6,118,37.5*,260.3
12,520,49.3,375,323.8,129,381.0,2,450.8,16 Holes,1+1/8'',170,1+1/4'' Dia,M30,60.34 kg,21.77 kg,1.6,131,37.5*,311.1
14,585,52.4,425,355.6,141,412.8,2,514.4,20 Holes,1+1/8'',180,1+1/4'' Dia,M30,86.77 kg,28.14 kg,1.6,143,37.5*,339.76
16,650,55.6,483,406.4,144,469.9,2,571.5,20 Holes,1+1/4'',190,1+3/8'' Dia,M33,108.64 kg,36.21 kg,1.6,146,37.5*,390.56
18,710,58.8,533,457.0,157,533.4,2,628.6,24 Holes,1+1/4'',195,1+3/8'' Dia,M33,132.21 kg,44.16 kg,1.6,159,37.5*,441.16
20,775,62.0,587,508.0,160,584.2,2,685.8,24 Holes,1+1/4'',205,1+3/8'' Dia,M33,163.89 kg,45.52 kg,1.6,162,37.5*,488.94
24,915,68.3,702,610.0,167,692.2,2,812.8,24 Holes,1+1/2'',230,1+5/8'' Dia,M39,237.91 kg,76.1 kg,1.6,169,37.5*,590.94
