nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,90,9.6,30,21.3,46,34.9,2,60.3,4 Holes,1/2'',55,5/8'' Dia,M14,0.49 kg,0.46 kg,1.6,48,37.5*,16.48
0+3/4,100,11.2,38,26.7,51,42.9,2,69.9,4 Holes,1/2'',65,5/8'' Dia,M14,0.73 kg,0.5 kg,1.6,53,37.5*,21.88
1,110,12.7,49,33.4,54,50.8,2,79.4,4 Holes,1/2'',65,5/8'' Dia,M14,1.04 kg,0.5 kg,1.6,56,37.5*,27.6
1+1/4,115,14.3,59,42.2,56,63.5,2,88.9,4 Holes,1/2'',70,5/8'' Dia,M14,1.27 kg,0.52 kg,1.6,58,37.5*,36.26
1+1/2,125,15.9,65,48.3,60,73.0,2,98.4,4 Holes,1/2'',70,5/8'' Dia,M14,1.65 kg,0.52 kg,1.6,62,37.5*,41.94
2,150,17.5,78,60.3,62,92.1,2,120.7,4 Holes,5/8'',85,3/4'' Dia,M16,2.48 kg,0.77 kg,1.6,64,37.5*,53.94
2+1/2,180,20.7,90,73.0,68,104.8,2,139.7,4 Holes,5/8'',90,3/4'' Dia,M16,4.23 kg,0.79 kg,1.6,70,37.5*,63.44
3,190,22.3,108,88.9,68,127.0,2,152.4,4 Holes,5/8'',90,3/4'' Dia,M16,4.89 kg,0.79 kg,1.6,70,37.5*,79.34
3+1/2,215,22.3,122,101.6,70,139.7,2,177.8,8 Holes,5/8'',90,3/4'' Dia,M16,6.01 kg,1.59 kg,1.6,72,37.5*,92.04
4,230,22.3,135,114.3,75,157.2,2,190.5,8 Holes,5/8'',90,3/4'' Dia,M16,6.9 kg,1.59 kg,1.6,77,37.5*,104.74
8,345,27.0,246,219.1,100,269.9,2,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,17.67 kg,3.08 kg,1.6,102,37.5*,205.02
10,405,28.6,305,273.0,100,323.8,2,362.0,12 Holes,7/8'',115,1'' Dia,M24,23.5 kg,7.4 kg,1.6,102,37.5*,257.4
12,485,30.2,365,323.8,113,381.0,2,431.8,12 Holes,7/8'',120,1'' Dia,M24,37.22 kg,7.58 kg,1.6,115,37.5*,307.04
14,535,33.4,400,355.6,125,412.8,2,476.3,12 Holes,1'',135,1+1/8'' Dia,M27,50.27 kg,11.04 kg,1.6,127,37.5*,336.54
16,595,35.0,457,406.4,125,469.9,2,539.8,16 Holes,1'',135,1+1/8'' Dia,M27,61.32 kg,14.72 kg,1.6,127,37.5*,387.34
18,635,38.1,505,457.2,138,533.4,2,577.9,16 Holes,1+1/8'',145,1+1/4'' Dia,M30,72.94 kg,19.9 kg,1.6,140,37.5*,434.74
20,700,41.3,559,508.0,143,584.2,2,635.0,20 Holes,1+1/8'',160,1+1/4'' Dia,M30,93.07 kg,26.28 kg,1.6,145,37.5*,482.6
24,815,46.1,663,610.0,151,692.2,2,749.3,20 Holes,1+1/4'',170,1+3/8'' Dia,M33,129.69 kg,33.94 kg,1.6,153,37.5*,581.46
