nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
0+1/2,95,14.3,38,21.3,52,51.0,5.54,R11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,0.9 kg,34.14,5.54,7.14,0.54 kg,1.6,59,37.5*,23*,6.36
0+3/4,115,15.9,48,26.7,57,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.47 kg,42.88,6.35,8.74,0.79 kg,1.6,64,37.5*,23*,11.06
1,125,17.5,54,33.4,62,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.97 kg,50.8,6.35,8.74,0.79 kg,1.6,69,37.5*,23*,15.22
1+1/4,135,20.7,64,42.2,67,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.76 kg,60.33,6.35,8.74,0.82 kg,1.6,74,37.5*,23*,22.8
1+1/2,155,22.3,70,48.3,70,90.5,6.35,20,4,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.78 kg,68.27,6.35,8.74,1.54 kg,1.6,77,37.5*,23*,28.0
2,165,25.4,84,60.3,73,108.0,7.92,23,5,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.79 kg,82.55,7.92,11.91,1.8 kg,1.6,80,37.5*,23*,38.16
2+1/2,190,28.6,100,73.0,79,127.0,7.92,26,5,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,7.13 kg,101.6,7.92,11.91,3.24 kg,1.6,86,37.5*,23*,44.96
3,210,31.8,117,88.9,83,146.0,7.92,31,5,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,9.67 kg,123.83,7.92,11.91,3.32 kg,1.6,90,37.5*,23*,58.42
4,275,38.1,152,114.3,102,175.0,7.92,37,5,215.9,8 Holes,7/8'',145,1'' Dia,M24,19.79 kg,149.23,7.92,11.91,5.64 kg,1.6,109,37.5*,23*,80.06
5,330,44.5,189,141.3,114,210.0,7.92,41,5,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,32.6 kg,180.98,7.92,11.91,8.27 kg,1.6,121,37.5*,23*,103.2
6,355,47.7,222,168.3,117,241.0,7.92,45,5,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,39.61 kg,211.12,7.92,11.91,12.65 kg,1.6,124,37.5*,23*,124.4
8,420,55.6,273,219.1,133,302.0,7.92,49,5,349.2,12 Holes,1+1/8'',195,1+1/4'' Dia,M30,60.79 kg,269.88,7.92,11.91,17.72 kg,1.6,140,37.5*,23*,174.64
10,510,63.5,343,273.0,152,356.0,7.92,53,5,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,100.25 kg,323.85,7.92,11.91,31.28 kg,1.6,159,37.5*,23*,222.2
12,560,66.7,400,323.8,156,413.0,7.92,57,5,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,120.02 kg,381.0,7.92,11.91,39.66 kg,1.6,163,37.5*,23*,273.0
