nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
0+1/2,95,14.3,38,21.3,52,51.0,5.54,11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,0.83 kg,34.14,5.54,7.14,0.54 kg,1.6,59,37.5*,23*,16.48
0+3/4,115,15.9,48,26.7,57,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.34 kg,42.88,6.35,8.74,0.79 kg,1.6,64,37.5*,23*,21.88
1,125,17.5,54,33.4,62,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.77 kg,50.8,6.35,8.74,0.79 kg,1.6,69,37.5*,23*,27.6
1+1/4,135,20.7,64,42.2,67,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.43 kg,60.33,6.35,8.74,0.82 kg,1.6,74,37.5*,23*,36.26
1+1/2,155,22.3,70,48.3,70,90.5,6.35,20,4,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.36 kg,68.27,6.35,8.74,1.54 kg,1.6,77,37.5*,23*,41.94
2,165,25.4,84,60.3,73,108.0,7.92,23,5,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.13 kg,82.55,7.92,11.9,1.8 kg,1.6,80,37.5*,23*,53.94
2+1/2,190,28.6,100,73.0,79,127.0,7.92,26,5,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,6.14 kg,101.6,7.92,11.9,3.24 kg,1.6,86,37.5*,23*,63.44
3,210,31.8,117,88.9,83,146.0,7.92,31,5,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,8.18 kg,123.83,7.92,11.9,3.32 kg,1.6,90,37.5*,23*,79.34
3+1/2,230,35.0,133,101.6,86,159.0,7.92,34,5,184.2,8 Holes,7/8'',140,1'' Dia,M24,10.31 kg,131.78,7.92,11.9,5.52 kg,1.6,93,37.5*,23*,92.04
4,255,35.0,146,114.3,89,175.0,7.92,37,6,200.0,8 Holes,7/8'',140,1'' Dia,M24,12.81 kg,149.23,7.92,11.91,5.52 kg,1.6,96,37.5*,23*,104.74
8,380,47.7,260,219.1,117,302.0,7.92,49,6,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,34.33 kg,269.88,7.92,11.91,12.65 kg,1.6,124,37.5*,23*,205.02
10,445,54.0,321,273.0,124,356.0,7.92,53,6,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,48.5 kg,323.85,7.92,11.91,23.26 kg,1.6,131,37.5*,23*,257.4
12,520,57.2,375,323.8,137,413.0,7.92,57,6,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,69.77 kg,381.0,7.92,11.91,30.35 kg,1.6,144,37.5*,23*,307.04
14,585,60.4,425,355.6,149,457.0,7.92,61,6,514.4,20 Holes,1+1/4'',210,1+3/8'' Dia,M33,98.07 kg,419.1,7.92,11.91,38.51 kg,1.6,156,37.5*,23*,336.54
16,650,63.5,483,406.4,152,508.0,7.92,65,6,571.5,20 Holes,1+3/8'',220,1+1/2'' Dia,M36,122.02 kg,469.9,7.92,11.91,50.38 kg,1.6,159,37.5*,23*,387.34
18,710,66.7,533,457.0,165,575.0,7.92,69,6,628.6,24 Holes,1+3/8'',230,1+1/2'' Dia,M36,150.74 kg,533.4,7.92,11.91,62.15 kg,1.6,172,37.5*,23*,434.74
20,775,69.9,587,508.0,168,635.0,9.53,73,6,685.8,24 Holes,1+1/2'',250,1+3/4'' Dia,M39,180.13 kg,584.2,9.53,13.49,80.13 kg,1.6,175,37.5*,23*,482.6
24,915,76.2,702,610.0,175,749.0,11.13,77,6,812.8,24 Holes,1+3/4'',280,1+7/8'' Dia,M45,267.2 kg,692.15,11.13,16.66,123.96 kg,1.6,182,37.5*,23*,581.46
