nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
4,355,76.2,165,114.3,190,203.0,11.13,38,4,273.0,8 Holes,1+1/2'',260,1+5/8'' Dia,M39,57.21 kg,157.18,11.13,16.66,27.37 kg,1.6,197,37.5*,23*,92.04
5,420,92.1,203,141.3,229,241.0,12.7,42,4,323.8,8 Holes,1+3/4'',310,1+7/8'' Dia,M45,96.93 kg,190.5,12.7,19.84,37.17 kg,1.6,236,37.5*,23*,115.9
6,485,108.0,235,168.3,273,279.0,12.7,47,4,368.3,8 Holes,2'',355,2+1/8'' Dia,M52,151.26 kg,228.6,12.7,19.84,67.25 kg,1.6,280,37.5*,23*,139.76
8,550,127.0,305,219.1,318,340.0,14.27,51,5,438.2,12 Holes,2'',395,2+1/8'' Dia,M52,227.3 kg,279.4,14.27,23.01,108.27 kg,1.6,325,37.5*,23*,182.58
10,675,165.1,375,273.0,419,425.0,17.48,55,6,539.8,12 Holes,2+1/2'',510,2+5/8'' Dia,M64,441.73 kg,342.9,17.48,30.18,200.28 kg,1.6,426,37.5*,23*,230.12
12,760,184.2,441,323.8,464,495.0,17.48,60,8,619.1,12 Holes,2+3/4'',560,2+7/8'' Dia,M72,629.19 kg,406.4,17.48,33.32,276.71 kg,1.6,471,37.5*,23*,273.0
