nb,od,hub-x,lapped thk,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,Lapped Bore,bolts wt rf,lapped tk,Stub-End see,Buttwelded Fittings
0+1/2,135,43,40,88.9,4 Holes,3/4'',120,7/8'' Dia,M20,3.2 kg,22.9,1.62 kg,30.2,Stub-End see,Buttwelded Fittings
0+3/4,140,51,43,95.2,4 Holes,3/4'',125,7/8'' Dia,M20,3.7 kg,28.2,1.66 kg,31.8,Stub-End see,Buttwelded Fittings
1,160,57,48,108.0,4 Holes,7/8'',140,1'' Dia,M24,5.0 kg,34.9,2.76 kg,35.0,Stub-End see,Buttwelded Fittings
1+1/4,185,73,52,130.2,4 Holes,1'',150,1+1/8'' Dia,M27,7.5 kg,43.7,3.91 kg,38.1,Stub-End see,Buttwelded Fittings
1+1/2,205,79,60,146.0,4 Holes,1+1/8'',170,1+1/4'' Dia,M30,10.0 kg,50.0,5.44 kg,44.5,Stub-End see,Buttwelded Fittings
2,235,95,70,171.4,8 Holes,1'',180,1+1/8'' Dia,M27,17.5 kg,62.5,8.74 kg,50.9,Stub-End see,Buttwelded Fittings
2+1/2,265,114,79,196.8,8 Holes,1+1/8'',195,1+1/4'' Dia,M30,23.0 kg,75.4,11.81 kg,57.2,Stub-End see,Buttwelded Fittings
3,305,133,92,228.6,8 Holes,1+1/4'',220,1+3/8'' Dia,M33,37.8 kg,91.4,15.86 kg,66.7,Stub-End see,Buttwelded Fittings
4,355,165,108,273.0,8 Holes,1+1/2'',255,1+5/8'' Dia,M39,57.0 kg,116.8,27.03 kg,76.2,Stub-End see,Buttwelded Fittings
5,420,203,130,323.8,8 Holes,1+3/4'',300,1+7/8'' Dia,M45,95.0 kg,144.4,36.38 kg,92.1,Stub-End see,Buttwelded Fittings
6,485,235,152,368.3,8 Holes,2'',345,2+1/8'' Dia,M52,148.0 kg,171.4,66.02 kg,108.0,Stub-End see,Buttwelded Fittings
8,550,305,178,438.2,12 Holes,2'',380,2+1/8'' Dia,M52,221.0 kg,222.2,105.5 kg,127.0,Stub-End see,Buttwelded Fittings
10,675,375,229,539.8,12 Holes,2+1/2'',490,2+5/8'' Dia,M64,425.0 kg,277.4,194.74 kg,165.1,Stub-End see,Buttwelded Fittings
12,760,441,254,619.1,12 Holes,2+3/4'',540,2+7/8'' Dia,M72,500.0 kg,328.2,269.63 kg,184.2,Stub-End see,Buttwelded Fittings
