nb,od,hub-x,lapped thk,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,Lapped Bore,bolts wt rf,lapped tk,Stub-End see,Buttwelded Fittings
1,110,49,17,79.4,4 Holes,1/2'',65,5/8'' Dia,M14,0.9 kg,34.9,0.5 kg,14.3,Stub-End see,Buttwelded Fittings
1+1/4,115,59,21,88.9,4 Holes,1/2'',70,5/8'' Dia,M14,1.4 kg,43.7,0.52 kg,15.9,Stub-End see,Buttwelded Fittings
1+1/2,125,65,22,98.4,4 Holes,1/2'',70,5/8'' Dia,M14,1.4 kg,50.0,0.52 kg,17.5,Stub-End see,Buttwelded Fittings
2,150,78,25,120.7,4 Holes,5/8'',85,3/4'' Dia,M16,2.3 kg,62.5,0.77 kg,19.1,Stub-End see,Buttwelded Fittings
2+1/2,180,90,29,139.7,4 Holes,5/8'',90,3/4'' Dia,M16,3.2 kg,75.4,0.79 kg,22.3,Stub-End see,Buttwelded Fittings
3,190,108,30,152.4,4 Holes,5/8'',90,3/4'' Dia,M16,3.7 kg,91.4,0.79 kg,23.9,Stub-End see,Buttwelded Fittings
3+1/2,215,122,32,177.8,8 Holes,5/8'',90,3/4'' Dia,M16,5.0 kg,104.1,1.59 kg,23.9,Stub-End see,Buttwelded Fittings
4,230,135,33,190.5,8 Holes,5/8'',90,3/4'' Dia,M16,5.9 kg,116.8,1.59 kg,23.9,Stub-End see,Buttwelded Fittings
5,255,164,36,215.9,8 Holes,3/4'',95,7/8'' Dia,M20,6.8 kg,144.4,2.83 kg,23.9,Stub-End see,Buttwelded Fittings
6,280,192,40,241.3,8 Holes,3/4'',100,7/8'' Dia,M20,8.6 kg,171.4,2.91 kg,25.4,Stub-End see,Buttwelded Fittings
8,345,246,44,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,13.7 kg,222.2,3.08 kg,28.6,Stub-End see,Buttwelded Fittings
10,405,305,49,362.0,12 Holes,7/8'',115,1'' Dia,M24,19.5 kg,277.4,7.4 kg,30.2,Stub-End see,Buttwelded Fittings
12,485,365,56,431.8,12 Holes,7/8'',120,1'' Dia,M24,29.0 kg,328.2,7.58 kg,31.8,Stub-End see,Buttwelded Fittings
14,535,400,79,476.3,12 Holes,1'',135,1+1/8'' Dia,M27,41.0 kg,360.2,11.04 kg,35.0,Stub-End see,Buttwelded Fittings
16,595,457,87,539.8,16 Holes,1'',135,1+1/8'' Dia,M27,54.0 kg,411.2,14.72 kg,36.6,Stub-End see,Buttwelded Fittings
18,635,505,97,577.9,16 Holes,1+1/8'',145,1+1/4'' Dia,M30,59.0 kg,462.3,19.9 kg,39.7,Stub-End see,Buttwelded Fittings
20,700,559,103,635.0,20 Holes,1+1/8'',160,1+1/4'' Dia,M30,75.0 kg,514.4,26.28 kg,42.9,Stub-End see,Buttwelded Fittings
24,815,663,111,749.3,20 Holes,1+1/4'',170,1+3/8'' Dia,M33,100.0 kg,616.0,33.94 kg,47.9,Stub-End see,Buttwelded Fittings
