nb,od,thickness,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,bld kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,135,30.2,65.0,6.35,13,4,88.9,4 Holes,3/4'',120,7/8'' Dia,M20,3.2 kg,42.88,6.35,8.74,1.62 kg,23*
0+3/4,140,31.8,73.0,6.35,16,4,95.2,4 Holes,3/4'',125,7/8'' Dia,M20,3.7 kg,50.8,6.35,8.74,1.66 kg,23*
1,160,35.0,82.5,6.35,18,4,108.0,4 Holes,7/8'',140,1'' Dia,M24,5.0 kg,60.33,6.35,8.74,2.76 kg,23*
1+1/4,185,38.1,102.0,7.92,21,3,130.2,4 Holes,1'',150,1+1/8'' Dia,M27,7.8 kg,72.23,7.92,11.91,3.91 kg,23*
1+1/2,205,44.5,114.0,7.92,23,3,146.0,4 Holes,1+1/8'',170,1+1/4'' Dia,M30,10.5 kg,82.55,7.92,11.91,5.44 kg,23*
2,235,50.9,133.0,7.92,26,3,171.4,8 Holes,1'',180,1+1/8'' Dia,M27,18.0 kg,101.6,7.92,11.91,8.74 kg,23*
2+1/2,265,57.2,149.0,9.53,28,3,196.8,8 Holes,1+1/8'',205,1+1/4'' Dia,M30,25.5 kg,111.13,9.52,13.49,12.19 kg,23*
3,305,66.7,168.0,9.53,32,3,228.6,8 Holes,1+1/4'',230,1+3/8'' Dia,M33,39.0 kg,127.0,9.52,13.49,16.32 kg,23*
4,355,76.2,203.0,11.13,38,4,273.0,8 Holes,1+1/2'',260,1+5/8'' Dia,M39,61.5 kg,157.18,11.13,16.66,27.37 kg,23*
5,420,92.1,241.0,12.7,42,4,323.8,8 Holes,1+3/4'',310,1+7/8'' Dia,M45,102.0 kg,190.5,12.7,19.84,37.17 kg,23*
6,485,108.0,279.0,12.7,47,4,368.3,8 Holes,2'',355,2+1/8'' Dia,M52,157.0 kg,228.6,12.7,19.84,67.25 kg,23*
8,550,127.0,340.0,14.27,51,5,438.2,12 Holes,2'',395,2+1/8'' Dia,M52,241.0 kg,279.4,14.27,23.01,108.27 kg,23*
10,675,165.1,425.0,17.48,55,6,539.8,12 Holes,2+1/2'',510,2+5/8'' Dia,M64,470.0 kg,342.9,17.48,30.18,200.28 kg,23*
12,760,184.2,495.0,17.48,60,8,619.1,12 Holes,2+3/4'',560,2+7/8'' Dia,M72,575.0 kg,406.4,17.48,33.32,276.71 kg,23*
