nb,od,thickness,hub-x,thd thk,SO Bore,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf
0+1/2,95,14.3,38,22,22.2,34.9,7,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.3 kg,0.54 kg
0+3/4,115,15.9,48,25,27.7,42.9,7,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,0.79 kg
1,125,17.5,54,27,34.5,50.8,7,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,0.79 kg
1+1/4,135,20.7,64,29,43.2,63.5,7,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,0.82 kg
1+1/2,155,22.3,70,32,49.5,73.0,7,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.2 kg,1.54 kg
2,165,25.4,84,37,61.9,92.1,7,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.1 kg,1.8 kg
2+1/2,190,28.6,100,41,74.6,104.8,7,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,5.9 kg,3.24 kg
3,210,31.8,117,46,90.7,127.0,7,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,7.3 kg,3.32 kg
3+1/2,230,35.0,133,49,103.4,139.7,7,184.2,8 Holes,7/8'',140,1'' Dia,M24,9.6 kg,5.52 kg
4,275,38.1,152,54,116.8,157.2,7,215.9,8 Holes,7/8'',145,1'' Dia,M24,16.8 kg,5.64 kg
5,330,44.5,189,60,143.8,185.7,7,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,29.0 kg,8.27 kg
6,355,47.7,222,67,170.7,215.9,7,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,36.0 kg,12.65 kg
8,420,55.6,273,76,221.5,269.9,7,349.2,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,52.0 kg,17.44 kg
10,510,63.5,343,86,276.2,323.8,7,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,77.0 kg,31.28 kg
12,560,66.7,400,92,327.0,381.0,7,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,91.0 kg,39.66 kg
14,605,69.9,432,94,359.2,412.8,7,527.0,20 Holes,1+3/8'',235,1+1/2'' Dia,M36,105.0 kg,52.5 kg
16,685,76.2,495,106,410.5,469.9,7,603.2,20 Holes,1+1/2'',255,1+5/8'' Dia,M39,150.0 kg,67.59 kg
18,745,82.6,546,117,461.8,533.4,7,654.0,20 Holes,1+5/8'',275,1+3/4'' Dia,M42,182.0 kg,86.03 kg
20,815,88.9,610,127,513.1,584.2,7,723.9,24 Holes,1+5/8'',285,1+3/4'' Dia,M42,232.0 kg,105.6 kg
24,940,101.6,718,140,616.0,692.2,7,838.2,24 Holes,1+7/8'',330,2'' Dia,M48,332.0 kg,160.96 kg
