nb,od,thickness,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,bld kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,120,22.3,60.5,6.35,12,4,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.8 kg,39.67,6.35,8.74,1.54 kg,23*
0+3/4,130,25.4,66.5,6.35,14,4,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.7 kg,44.45,6.35,8.74,1.58 kg,23*
1,150,28.6,71.5,6.35,16,4,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.7 kg,50.8,6.35,8.74,2.58 kg,23*
1+1/4,160,28.6,81.0,6.35,18,4,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.1 kg,60.33,6.35,8.74,2.58 kg,23*
1+1/2,180,31.8,92.0,6.35,20,4,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,5.9 kg,68.27,6.35,8.74,3.75 kg,23*
2,215,38.1,124.0,7.92,24,3,165.1,8 Holes,7/8'',145,1'' Dia,M24,10.1 kg,95.25,7.92,11.91,5.64 kg,23*
2+1/2,245,41.3,137.0,7.92,27,3,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,15.9 kg,107.95,7.92,11.91,8.12 kg,23*
3,265,47.7,168.0,7.92,35,3,203.2,8 Holes,1+1/8'',180,1+1/4'' Dia,M30,21.8 kg,136.53,7.92,11.91,11.25 kg,23*
4,310,54.0,194.0,7.92,39,3,241.3,8 Holes,1+1/4'',195,1+3/8'' Dia,M33,33.0 kg,161.93,7.92,11.91,14.72 kg,23*
5,375,73.1,229.0,7.92,44,3,292.1,8 Holes,1+1/2'',250,1+5/8'' Dia,M39,64.0 kg,193.68,7.92,11.91,26.71 kg,23*
6,395,82.6,248.0,9.53,46,3,317.5,12 Holes,1+3/8'',265,1+1/2'' Dia,M36,75.0 kg,211.14,9.53,13.49,34.04 kg,23*
8,485,92.1,318.0,11.13,50,4,393.7,12 Holes,1+5/8'',325,1+3/4'' Dia,M42,136.0 kg,269.88,11.13,16.66,57.53 kg,23*
10,585,108.0,371.0,11.13,54,4,482.6,12 Holes,1+7/8'',345,2'' Dia,M48,232.0 kg,323.85,11.13,16.66,82.81 kg,23*
12,675,123.9,438.0,14.27,58,5,571.5,16 Holes,2'',385,2+1/8'' Dia,M52,314.0 kg,381.0,14.27,23.01,141.9 kg,23*
14,750,133.4,489.0,15.88,63,6,635.0,16 Holes,2+1/4'',425,2+3/8'' Dia,M56,443.0 kg,419.1,15.88,26.97,175.5 kg,23*
16,825,146.1,546.0,17.48,67,8,704.8,16 Holes,2+1/2'',470,2+5/8'' Dia,M64,591.0 kg,469.9,17.48,30.18,252.25 kg,23*
18,915,162.0,613.0,17.48,71,8,774.7,16 Holes,2+3/4'',525,2+7/8'' Dia,M72,795.0 kg,533.4,17.48,30.18,352.31 kg,23*
20,985,177.8,673.0,17.48,75,10,831.8,16 Holes,3'',565,3+1/8'' Dia,M76,1022.0 kg,584.2,17.48,33.32,422.24 kg,23*
24,1170,203.2,794.0,20.62,79,11,990.6,16 Holes,3+1/2'',650,3+5/8'' Dia,M90,1648.0 kg,692.15,20.62,36.53,672.32 kg,23*
