nb,od,thickness,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,bld kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
1,110,12.7,63.5,6.35,15,4,79.4,4 Holes,1/2'',75,5/8'' Dia,M14,0.9 kg,47.63,6.35,8.74,0.54 kg,23*
1+1/4,115,14.3,73.0,6.35,17,4,88.9,4 Holes,1/2'',85,5/8'' Dia,M14,1.4 kg,57.15,6.35,8.74,0.58 kg,23*
1+1/2,125,15.9,82.5,6.35,19,4,98.4,4 Holes,1/2'',85,5/8'' Dia,M14,1.8 kg,65.07,6.35,8.74,0.58 kg,23*
2,150,17.5,102.0,6.35,22,4,120.7,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,82.55,6.35,8.74,0.82 kg,23*
2+1/2,180,20.7,121.0,6.35,25,4,139.7,4 Holes,5/8'',100,3/4'' Dia,M16,3.2 kg,101.6,6.35,8.74,0.84 kg,23*
3,190,22.3,133.0,6.35,29,4,152.4,4 Holes,5/8'',100,3/4'' Dia,M16,4.1 kg,114.3,6.35,8.74,0.84 kg,23*
3+1/2,215,22.3,154.0,6.35,33,4,177.8,8 Holes,5/8'',100,3/4'' Dia,M16,5.9 kg,131.78,6.35,8.74,1.69 kg,23*
4,230,22.3,171.0,6.35,36,4,190.5,8 Holes,5/8'',100,3/4'' Dia,M16,7.7 kg,149.23,6.35,8.74,1.69 kg,23*
5,255,22.3,194.0,6.35,40,4,215.9,8 Holes,3/4'',110,7/8'' Dia,M20,9.1 kg,171.45,6.35,8.74,3.08 kg,23*
6,280,23.9,219.0,6.35,43,4,241.3,8 Holes,3/4'',115,7/8'' Dia,M20,11.8 kg,193.68,6.35,8.74,3.16 kg,23*
8,345,27.0,273.0,6.35,48,4,298.5,8 Holes,3/4'',120,7/8'' Dia,M20,20.5 kg,247.65,6.35,8.74,3.24 kg,23*
10,405,28.6,330.0,6.35,52,4,362.0,12 Holes,7/8'',125,1'' Dia,M24,32.0 kg,304.8,6.35,8.74,7.76 kg,23*
12,485,30.2,406.0,6.35,56,4,431.8,12 Holes,7/8'',135,1'' Dia,M24,50.0 kg,381.0,6.35,8.74,8.11 kg,23*
14,535,33.4,425.0,6.35,59,3,476.3,12 Holes,1'',145,1+1/8'' Dia,M27,64.0 kg,396.88,6.35,8.74,11.49 kg,23*
16,595,35.0,483.0,6.35,64,3,539.8,16 Holes,1'',145,1+1/8'' Dia,M27,82.0 kg,454.03,6.35,8.74,15.32 kg,23*
18,635,38.1,546.0,6.35,68,3,577.9,16 Holes,1+1/8'',160,1+1/4'' Dia,M30,100.0 kg,517.53,6.35,8.74,21.02 kg,23*
20,700,41.3,597.0,6.35,72,3,635.0,20 Holes,1+1/8'',170,1+1/4'' Dia,M30,130.0 kg,558.8,6.35,8.74,27.21 kg,23*
24,815,46.1,711.0,6.35,76,3,749.3,20 Holes,1+1/4'',185,1+3/8'' Dia,M33,196.0 kg,673.1,6.35,8.74,35.65 kg,23*
