nb,od,thickness,hub-x,thd thk,SO Bore,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf
0+1/2,95,12.7,38,21,22.2,34.9,2,66.7,4 Holes,1/2'',65,5/8'' Dia,M14,1.2 kg,0.5 kg
0+3/4,115,14.3,48,24,27.7,42.9,2,82.6,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,0.71 kg
1,125,15.9,54,25,34.5,50.8,2,88.9,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,0.71 kg
1+1/4,135,17.5,64,25,43.2,63.5,2,98.4,4 Holes,5/8'',85,3/4'' Dia,M16,1.8 kg,0.77 kg
1+1/2,155,19.1,70,29,49.5,73.0,2,114.3,4 Holes,3/4'',90,7/8'' Dia,M20,2.7 kg,1.37 kg
2,165,20.7,84,32,61.9,92.1,2,127.0,8 Holes,5/8'',90,3/4'' Dia,M16,3.2 kg,1.59 kg
2+1/2,190,23.9,100,37,74.6,104.8,2,149.2,8 Holes,3/4'',100,7/8'' Dia,M20,4.6 kg,2.91 kg
3,210,27.0,117,41,90.7,127.0,2,168.3,8 Holes,3/4'',110,7/8'' Dia,M20,5.9 kg,3.08 kg
3+1/2,230,28.6,133,43,103.4,139.7,2,184.2,8 Holes,3/4'',110,7/8'' Dia,M20,7.7 kg,3.08 kg
4,255,30.2,146,46,116.8,157.2,2,200.0,8 Holes,3/4'',115,7/8'' Dia,M20,10.0 kg,3.16 kg
5,280,33.4,178,49,143.8,185.7,2,235.0,8 Holes,3/4'',120,7/8'' Dia,M20,12.7 kg,3.24 kg
6,320,35.0,206,51,170.7,215.9,2,269.9,12 Holes,3/4'',120,7/8'' Dia,M20,17.7 kg,4.86 kg
8,380,39.7,260,60,221.5,269.9,2,330.2,12 Holes,7/8'',140,1'' Dia,M24,26.0 kg,8.29 kg
10,445,46.1,321,65,276.2,323.8,2,387.4,16 Holes,1'',160,1+1/8'' Dia,M27,36.0 kg,16.25 kg
12,520,49.3,375,71,327.0,381.0,2,450.8,16 Holes,1+1/8'',170,1+1/4'' Dia,M30,52.0 kg,21.77 kg
14,585,52.4,425,75,359.2,412.8,2,514.4,20 Holes,1+1/8'',180,1+1/4'' Dia,M30,75.0 kg,28.14 kg
16,650,55.6,483,81,410.5,469.9,2,571.5,20 Holes,1+1/4'',190,1+3/8'' Dia,M33,86.0 kg,36.21 kg
18,710,58.8,533,87,461.8,533.4,2,628.6,24 Holes,1+1/4'',195,1+3/8'' Dia,M33,113.0 kg,44.16 kg
20,775,62.0,587,94,513.1,584.2,2,685.8,24 Holes,1+1/4'',205,1+3/8'' Dia,M33,143.0 kg,45.52 kg
24,915,68.3,702,105,616.0,692.2,2,812.8,24 Holes,1+1/2'',230,1+5/8'' Dia,M39,216.0 kg,76.1 kg
