nb,od,thickness,hub-x,thd thk,SO Bore,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf
0+1/2,120,22.3,38,32.0,22.2,34.9,7,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.8 kg,1.54 kg
0+3/4,130,25.4,44,35.0,27.7,42.9,7,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.3 kg,1.58 kg
1,150,28.6,52,41.0,34.5,50.8,7,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.7 kg,2.58 kg
1+1/4,160,28.6,64,41.0,43.2,63.5,7,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.1 kg,2.58 kg
1+1/2,180,31.8,70,44.0,49.5,73.0,7,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,5.5 kg,3.75 kg
2,215,38.1,105,57.0,61.9,92.1,7,165.1,8 Holes,7/8'',145,1'' Dia,M24,9.8 kg,5.64 kg
2+1/2,245,41.3,124,64.0,74.6,104.8,7,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,16.4 kg,8.12 kg
