nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
1,110,12.7,49,33.4,54,63.5,6.35,15.0,4.0,79.4,4 Holes,1/2'',75.0,5/8'' Dia,M14,1.22 kg,47.63,6.35,8.74,0.54 kg,1.6,56,37.5*,23*,15.22
1+1/4,115,14.3,59,42.2,56,73.0,6.35,17.0,4.0,88.9,4 Holes,1/2'',85.0,5/8'' Dia,M14,1.55 kg,57.15,6.35,8.74,0.58 kg,1.6,58,37.5*,23*,22.8
1+1/2,125,15.9,65,48.3,60,82.5,6.35,19.0,4.0,98.4,4 Holes,1/2'',85.0,5/8'' Dia,M14,2.02 kg,65.07,6.35,8.74,0.58 kg,1.6,62,37.5*,23*,28.0
2,150,17.5,78,60.3,62,102.0,6.35,22.0,4.0,120.7,4 Holes,5/8'',95.0,3/4'' Dia,M16,3.04 kg,82.55,6.35,8.74,0.82 kg,1.6,64,37.5*,23*,38.16
2+1/2,180,20.7,90,73.0,68,121.0,6.35,25.0,4.0,139.7,4 Holes,5/8'',100.0,3/4'' Dia,M16,5.08 kg,101.6,6.35,8.74,0.84 kg,1.6,70,37.5*,23*,44.96
3,190,22.3,108,88.9,68,133.0,6.35,29.0,4.0,152.4,4 Holes,5/8'',100.0,3/4'' Dia,M16,6.11 kg,114.3,6.35,8.74,0.84 kg,1.6,70,37.5*,23*,58.42
4,230,22.3,135,114.3,75,171.0,6.35,36.0,4.0,190.5,8 Holes,5/8'',100.0,3/4'' Dia,M16,9.04 kg,149.23,6.35,8.74,1.69 kg,1.6,77,37.5*,23*,80.06
5,255,22.3,164,141.3,87,194.0,6.35,40.0,4.0,215.9,8 Holes,3/4'',110.0,7/8'' Dia,M20,12.07 kg,171.45,6.35,8.74,3.08 kg,1.6,89,37.5*,23*,103.2
6,280,23.9,192,168.3,87,219.0,6.35,43.0,4.0,241.3,8 Holes,3/4'',115.0,7/8'' Dia,M20,15.42 kg,193.68,6.35,8.74,3.16 kg,1.6,89,37.5*,23*,124.4
8,345,27.0,246,219.1,100,273.0,6.35,48.0,4.0,298.5,8 Holes,3/4'',120.0,7/8'' Dia,M20,24.87 kg,247.65,6.35,8.74,3.24 kg,1.6,102,37.5*,23*,174.64
10,405,28.6,305,273.0,100,330.0,6.35,52.0,4.0,362.0,12 Holes,7/8'',125.0,1'' Dia,M24,34.03 kg,304.8,6.35,8.74,7.76 kg,1.6,102,37.5*,23*,222.2
12,485,30.2,365,323.8,113,406.0,6.35,56.0,4.0,431.8,12 Holes,7/8'',135.0,1'' Dia,M24,51.14 kg,381.0,6.35,8.74,8.11 kg,1.6,115,37.5*,23*,273.0
