nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,95,12.7,38,21.3,51,34.9,2,66.7,4 Holes,1/2'',65,5/8'' Dia,M14,0.73 kg,0.5 kg,1.6,53,37.5*,17.08
0+3/4,115,14.3,48,26.7,56,42.9,2,82.6,4 Holes,5/8'',75,3/4'' Dia,M16,1.21 kg,0.71 kg,1.6,58,37.5*,22.48
1,125,15.9,54,33.4,60,50.8,2,88.9,4 Holes,5/8'',75,3/4'' Dia,M16,1.61 kg,0.71 kg,1.6,62,37.5*,27.86
1+1/4,135,17.5,64,42.2,64,63.5,2,98.4,4 Holes,5/8'',85,3/4'' Dia,M16,2.07 kg,0.77 kg,1.6,66,37.5*,36.66
1+1/2,155,19.1,70,48.3,67,73.0,2,114.3,4 Holes,3/4'',90,7/8'' Dia,M20,2.87 kg,1.37 kg,1.6,69,37.5*,42.76
2,165,20.7,84,60.3,68,92.1,2,127.0,8 Holes,5/8'',90,3/4'' Dia,M16,3.36 kg,1.59 kg,1.6,70,37.5*,54.76
2+1/2,190,23.9,100,73.0,75,104.8,2,149.2,8 Holes,3/4'',100,7/8'' Dia,M20,5.01 kg,2.91 kg,1.6,77,37.5*,66.9
3,210,27.0,117,88.9,78,127.0,2,168.3,8 Holes,3/4'',110,7/8'' Dia,M20,6.72 kg,3.08 kg,1.6,80,37.5*,82.8
3+1/2,230,28.6,133,101.6,79,139.7,2,184.2,8 Holes,3/4'',110,7/8'' Dia,M20,8.44 kg,3.08 kg,1.6,81,37.5*,95.5
4,255,30.2,146,114.3,84,157.2,2,200.0,8 Holes,3/4'',115,7/8'' Dia,M20,10.94 kg,3.16 kg,1.6,86,37.5*,108.2
5,280,33.4,178,141.3,97,185.7,2,235.0,8 Holes,3/4'',120,7/8'' Dia,M20,14.49 kg,3.24 kg,1.6,99,37.5*,134.5
6,320,35.0,206,168.3,97,215.9,2,269.9,12 Holes,3/4'',120,7/8'' Dia,M20,18.6 kg,4.86 kg,1.6,99,37.5*,161.5
8,380,39.7,260,219.1,110,269.9,2,330.2,12 Holes,7/8'',140,1'' Dia,M24,27.96 kg,8.29 kg,1.6,112,37.5*,211.58
10,445,46.1,321,273.0,116,323.8,2,387.4,16 Holes,1'',160,1+1/8'' Dia,M27,40.39 kg,16.25 kg,1.6,118,37.5*,264.72
12,520,49.3,375,323.8,129,381.0,2,450.8,16 Holes,1+1/8'',170,1+1/4'' Dia,M30,58.5 kg,21.77 kg,1.6,131,37.5*,314.76
14,585,52.4,425,355.6,141,412.8,2,514.4,20 Holes,1+1/8'',180,1+1/4'' Dia,M30,82.98 kg,28.14 kg,1.6,143,37.5*,346.04
16,650,55.6,483,406.4,144,469.9,2,571.5,20 Holes,1+1/4'',190,1+3/8'' Dia,M33,104.2 kg,36.21 kg,1.6,146,37.5*,396.84
18,710,58.8,533,457.0,157,533.4,2,628.6,24 Holes,1+1/4'',195,1+3/8'' Dia,M33,126.74 kg,44.16 kg,1.6,159,37.5*,447.44
20,775,62.0,587,508.0,160,584.2,2,685.8,24 Holes,1+1/4'',205,1+3/8'' Dia,M33,156.03 kg,45.52 kg,1.6,162,37.5*,496.92
24,915,68.3,702,610.0,167,692.2,2,812.8,24 Holes,1+1/2'',230,1+5/8'' Dia,M39,230.04 kg,76.1 kg,1.6,169,37.5*,597.3
