nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,120,22.3,38,21.3,60,34.9,7,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.91 kg,1.54 kg,1.6,67,37.5*,6.36
0+3/4,130,25.4,44,26.7,70,42.9,7,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.66 kg,1.58 kg,1.6,77,37.5*,11.06
1,150,28.6,52,33.4,73,50.8,7,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.95 kg,2.58 kg,1.6,80,37.5*,15.22
1+1/4,160,28.6,64,42.2,73,63.5,7,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.65 kg,2.58 kg,1.6,80,37.5*,22.8
1+1/2,180,31.8,70,48.3,83,73.0,7,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,6.51 kg,3.75 kg,1.6,90,37.5*,28.0
2,215,38.1,105,60.3,102,92.1,7,165.1,8 Holes,7/8'',145,1'' Dia,M24,11.48 kg,5.64 kg,1.6,109,37.5*,38.16
2+1/2,245,41.3,124,73.0,105,104.8,7,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,16.17 kg,8.12 kg,1.6,112,37.5*,44.96
3,240,38.1,127,88.9,102,127.0,7,190.5,8 Holes,7/8'',145,1'' Dia,M24,14.94 kg,5.64 kg,1.6,109,37.5*,58.42
4,290,44.5,159,114.3,114,157.2,7,235.0,8 Holes,1+1/8'',170,1+1/4'' Dia,M30,24.62 kg,10.88 kg,1.6,121,37.5*,80.06
5,350,50.8,190,141.3,127,185.7,7,279.4,8 Holes,1+1/4'',190,1+3/8'' Dia,M33,40.26 kg,14.48 kg,1.6,134,37.5*,103.2
6,380,55.6,235,168.3,140,215.9,7,317.5,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,53.45 kg,17.44 kg,1.6,147,37.5*,124.4
8,470,63.5,298,219.1,162,269.9,7,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,90.24 kg,30.22 kg,1.6,169,37.5*,174.64
10,545,69.9,368,273.0,184,323.8,7,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,134.68 kg,42.0 kg,1.6,191,37.5*,222.2
12,610,79.4,419,323.8,200,381.0,7,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,179.53 kg,55.32 kg,1.6,207,37.5*,273.0
