nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
8,345,27.0,246,219.1,100,273.0,6.35,48.0,4.0,298.5,8 Holes,3/4'',120.0,7/8'' Dia,M20,21.63 kg,247.65,6.35,8.74,3.24 kg,1.6,102,37.5*,23*,188.92
10,405,28.6,305,273.0,100,330.0,6.35,52.0,4.0,362.0,12 Holes,7/8'',125.0,1'' Dia,M24,29.95 kg,304.8,6.35,8.74,7.76 kg,1.6,102,37.5*,23*,236.48
12,485,30.2,365,323.8,113,406.0,6.35,56.0,4.0,431.8,12 Holes,7/8'',135.0,1'' Dia,M24,48.05 kg,381.0,6.35,8.74,8.11 kg,1.6,115,37.5*,23*,280.92
14,535,33.4,400,355.6,125,425.0,6.35,59.0,3.0,476.3,12 Holes,1'',145.0,1+1/8'' Dia,M27,64.65 kg,396.88,6.35,8.74,11.49 kg,1.6,127,37.5*,23*,307.94
16,595,35.0,457,406.4,125,483.0,6.35,64.0,3.0,539.8,16 Holes,1'',145.0,1+1/8'' Dia,M27,80.59 kg,454.03,6.35,8.74,15.32 kg,1.6,127,37.5*,23*,354.02
18,635,38.1,505,457.2,138,546.0,6.35,68.0,3.0,577.9,16 Holes,1+1/8'',160.0,1+1/4'' Dia,M30,99.1 kg,517.53,6.35,8.74,21.02 kg,1.6,140,37.5*,23*,398.28
20,700,41.3,559,508.0,143,597.0,6.35,72.0,3.0,635.0,20 Holes,1+1/8'',170.0,1+1/4'' Dia,M30,125.84 kg,558.8,6.35,8.74,27.21 kg,1.6,145,37.5*,23*,442.92
24,815,46.1,663,610.0,151,711.0,6.35,76.0,3.0,749.3,20 Holes,1+1/4'',185.0,1+3/8'' Dia,M33,181.37 kg,673.1,6.35,8.74,35.65 kg,1.6,153,37.5*,23*,532.22
