nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
0+1/2,95,14.3,38,21.3,52,51.0,5.54,11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,0.9 kg,34.14,5.54,7.14,0.54 kg,1.6,59,37.5*,23*,6.36
0+3/4,115,15.9,48,26.7,57,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.47 kg,42.88,6.35,8.74,0.79 kg,1.6,64,37.5*,23*,11.06
1,125,17.5,54,33.4,62,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.97 kg,50.8,6.35,8.74,0.79 kg,1.6,69,37.5*,23*,15.22
1+1/4,135,20.7,64,42.2,67,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.76 kg,60.33,6.35,8.74,0.82 kg,1.6,74,37.5*,23*,22.8
1+1/2,155,22.3,70,48.3,70,90.5,6.35,20,4,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.78 kg,68.27,6.35,8.74,1.54 kg,1.6,77,37.5*,23*,28.0
2,165,25.4,84,60.3,73,108.0,7.92,23,5,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.79 kg,82.55,7.92,11.9,1.8 kg,1.6,80,37.5*,23*,38.16
2+1/2,190,28.6,100,73.0,79,127.0,7.92,26,5,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,7.13 kg,101.6,7.92,11.9,3.24 kg,1.6,86,37.5*,23*,44.96
3,210,31.8,117,88.9,83,146.0,7.92,31,5,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,9.67 kg,123.83,7.92,11.9,3.32 kg,1.6,90,37.5*,23*,58.42
4,255,35.0,146,114.3,89,175.0,7.92,37,6,200.0,8 Holes,7/8'',140,1'' Dia,M24,15.34 kg,149.23,7.92,11.91,5.52 kg,1.6,96,37.5*,23*,80.06
5,280,38.1,178,141.3,102,210.0,7.92,41,6,235.0,8 Holes,7/8'',145,1'' Dia,M24,20.88 kg,180.98,7.92,11.91,5.64 kg,1.6,109,37.5*,23*,103.2
6,320,41.3,206,168.3,103,241.0,7.92,45,6,269.9,12 Holes,7/8'',150,1'' Dia,M24,28.06 kg,211.12,7.92,11.91,8.65 kg,1.6,110,37.5*,23*,124.4
8,380,47.7,260,219.1,117,302.0,7.92,49,6,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,42.75 kg,269.88,7.92,11.91,12.65 kg,1.6,124,37.5*,23*,174.64
10,445,54.0,321,273.0,124,356.0,7.92,53,6,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,61.56 kg,323.85,7.92,11.91,23.26 kg,1.6,131,37.5*,23*,222.2
12,520,57.2,375,323.8,137,413.0,7.92,57,6,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,86.65 kg,381.0,7.92,11.91,30.35 kg,1.6,144,37.5*,23*,273.0
