nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,90,9.6,30,21.3,46,34.9,2,60.3,4 Holes,1/2'',55,5/8'' Dia,M14,0.56 kg,0.46 kg,1.6,48,37.5*,6.36
0+3/4,100,11.2,38,26.7,51,42.9,2,69.9,4 Holes,1/2'',65,5/8'' Dia,M14,0.84 kg,0.5 kg,1.6,53,37.5*,11.06
1,110,12.7,49,33.4,54,50.8,2,79.4,4 Holes,1/2'',65,5/8'' Dia,M14,1.22 kg,0.5 kg,1.6,56,37.5*,15.22
1+1/4,115,14.3,59,42.2,56,63.5,2,88.9,4 Holes,1/2'',70,5/8'' Dia,M14,1.55 kg,0.52 kg,1.6,58,37.5*,22.8
1+1/2,125,15.9,65,48.3,60,73.0,2,98.4,4 Holes,1/2'',70,5/8'' Dia,M14,2.02 kg,0.52 kg,1.6,62,37.5*,28.0
2,150,17.5,78,60.3,62,92.1,2,120.7,4 Holes,5/8'',85,3/4'' Dia,M16,3.04 kg,0.77 kg,1.6,64,37.5*,38.16
2+1/2,180,20.7,90,73.0,68,104.8,2,139.7,4 Holes,5/8'',90,3/4'' Dia,M16,5.08 kg,0.79 kg,1.6,70,37.5*,44.96
3,190,22.3,108,88.9,68,127.0,2,152.4,4 Holes,5/8'',90,3/4'' Dia,M16,6.11 kg,0.79 kg,1.6,70,37.5*,58.42
4,230,22.3,135,114.3,75,157.2,2,190.5,8 Holes,5/8'',90,3/4'' Dia,M16,9.04 kg,1.59 kg,1.6,77,37.5*,80.06
5,255,22.3,164,141.3,87,185.7,2,215.9,8 Holes,3/4'',95,7/8'' Dia,M20,12.07 kg,2.83 kg,1.6,89,37.5*,103.2
6,280,23.9,192,168.3,87,215.9,2,241.3,8 Holes,3/4'',100,7/8'' Dia,M20,15.42 kg,2.91 kg,1.6,89,37.5*,124.4
8,345,27.0,246,219.1,100,269.9,2,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,24.87 kg,3.08 kg,1.6,102,37.5*,174.64
10,405,28.6,305,273.0,100,323.8,2,362.0,12 Holes,7/8'',115,1'' Dia,M24,34.03 kg,7.4 kg,1.6,102,37.5*,222.2
12,485,30.2,365,323.8,113,381.0,2,431.8,12 Holes,7/8'',120,1'' Dia,M24,51.14 kg,7.58 kg,1.6,115,37.5*,273.0
