nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
8,470,63.5,298,219.1,162,269.9,7,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,85.0 kg,30.22 kg,1.6,169,37.5*,188.92
10,545,69.9,368,273.0,184,323.8,7,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,127.16 kg,42.0 kg,1.6,191,37.5*,236.48
12,610,79.4,419,323.8,200,381.0,7,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,174.05 kg,55.32 kg,1.6,207,37.5*,280.92
14,640,85.8,451,355.6,213,412.8,7,558.8,20 Holes,1+1/2'',275,1+5/8'' Dia,M39,202.74 kg,58.15 kg,1.6,220,37.5*,307.94
16,705,88.9,508,406.4,216,469.9,7,616.0,20 Holes,1+5/8'',285,1+3/4'' Dia,M42,249.05 kg,72.61 kg,1.6,223,37.5*,354.02
18,785,101.6,565,457.0,229,533.4,7,685.8,20 Holes,1+7/8'',325,2'' Dia,M48,337.34 kg,132.84 kg,1.6,236,37.5*,398.28
20,855,108.0,622,508.0,248,584.2,7,749.3,20 Holes,2'',350,2+1/8'' Dia,M52,426.7 kg,166.6 kg,1.6,255,37.5*,442.92
24,1040,139.7,749,610.0,292,692.2,7,901.7,20 Holes,2+1/2'',440,2+5/8'' Dia,M64,784.65 kg,345.48 kg,1.6,299,37.5*,532.22
