nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
4,275,38.1,152,114.3,102,157.2,7,215.9,8 Holes,7/8'',145,1'' Dia,M24,18.48 kg,5.64 kg,1.6,109,37.5*,92.04
5,330,44.5,189,141.3,114,185.7,7,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,30.62 kg,8.27 kg,1.6,121,37.5*,115.9
6,355,47.7,222,168.3,117,215.9,7,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,36.65 kg,12.65 kg,1.6,124,37.5*,139.76
8,420,55.6,273,219.1,133,269.9,7,349.2,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,58.43 kg,17.44 kg,1.6,140,37.5*,182.58
10,510,63.5,343,273.0,152,323.8,7,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,96.85 kg,31.28 kg,1.6,159,37.5*,230.12
12,560,66.7,400,323.8,156,381.0,7,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,120.02 kg,39.66 kg,1.6,163,37.5*,273.0
14,605,69.9,432,355.6,165,412.8,7,527.0,20 Holes,1+3/8'',235,1+1/2'' Dia,M36,145.48 kg,52.5 kg,1.6,172,37.5*,300.02
16,685,76.2,495,406.4,178,469.9,7,603.2,20 Holes,1+1/2'',255,1+5/8'' Dia,M39,202.91 kg,67.59 kg,1.6,185,37.5*,344.48
18,745,82.6,546,457.0,184,533.4,7,654.0,20 Holes,1+5/8'',275,1+3/4'' Dia,M42,251.92 kg,86.03 kg,1.6,191,37.5*,387.14
20,815,88.9,610,508.0,190,584.2,7,723.9,24 Holes,1+5/8'',285,1+3/4'' Dia,M42,316.6 kg,105.6 kg,1.6,197,37.5*,431.8
24,940,101.6,718,610.0,203,692.2,7,838.2,24 Holes,1+7/8'',330,2'' Dia,M48,458.0 kg,160.96 kg,1.6,210,37.5*,517.96
