nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
4,310,54.0,162,114.3,124,194.0,7.92,39,3,241.3,8 Holes,1+1/4'',195,1+3/8'' Dia,M33,30.81 kg,161.93,7.92,11.91,14.72 kg,1.6,131,37.5*,23*,92.04
5,375,73.1,197,141.3,156,229.0,7.92,44,3,292.1,8 Holes,1+1/2'',250,1+5/8'' Dia,M39,59.48 kg,193.68,7.92,11.91,26.71 kg,1.6,163,37.5*,23*,115.9
6,395,82.6,229,168.3,171,248.0,9.53,46,3,317.5,12 Holes,1+3/8'',265,1+1/2'' Dia,M36,72.13 kg,211.14,9.53,13.49,34.04 kg,1.6,178,37.5*,23*,139.76
8,485,92.1,292,219.1,213,318.0,11.13,50,4,393.7,12 Holes,1+5/8'',325,1+3/4'' Dia,M42,126.07 kg,269.88,11.13,16.66,57.53 kg,1.6,220,37.5*,23*,182.58
10,585,108.0,368,273.0,254,371.0,11.13,54,4,482.6,12 Holes,1+7/8'',345,2'' Dia,M48,218.38 kg,323.85,11.13,16.66,82.81 kg,1.6,261,37.5*,23*,230.12
12,675,123.9,451,323.8,283,438.0,14.27,58,5,571.5,16 Holes,2'',385,2+1/8'' Dia,M52,331.8 kg,381.0,14.27,23.01,141.9 kg,1.6,290,37.5*,23*,273.0
14,750,133.4,495,355.6,298,489.0,15.88,63,6,635.0,16 Holes,2+1/4'',425,2+3/8'' Dia,M56,435.86 kg,419.1,15.88,26.97,175.5 kg,1.6,305,37.5*,23*,300.02
16,825,146.1,552,406.4,311,546.0,17.48,67,8,704.8,16 Holes,2+1/2'',470,2+5/8'' Dia,M64,558.94 kg,469.9,17.48,30.18,252.25 kg,1.6,318,37.5*,23*,344.48
18,915,162.0,597,457.0,327,613.0,17.48,71,8,774.7,16 Holes,2+3/4'',525,2+7/8'' Dia,M72,737.81 kg,533.4,17.48,30.18,352.31 kg,1.6,334,37.5*,23*,387.14
20,985,177.8,641,508.0,356,673.0,17.48,75,10,831.8,16 Holes,3'',565,3+1/8'' Dia,M76,915.0 kg,584.2,17.48,33.32,422.24 kg,1.6,363,37.5*,23*,431.8
24,1170,203.2,762,610.0,406,794.0,20.62,79,11,990.6,16 Holes,3+1/2'',650,3+5/8'' Dia,M90,1476.21 kg,692.15,20.62,36.53,672.32 kg,1.6,413,37.5*,23*,517.96
