nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
4,230,22.3,135,114.3,75,171.0,6.35,36.0,4.0,190.5,8 Holes,5/8'',100.0,3/4'' Dia,M16,8.07 kg,149.23,6.35,8.74,1.69 kg,1.6,77,37.5*,23*,92.04
5,255,22.3,164,141.3,87,194.0,6.35,40.0,4.0,215.9,8 Holes,3/4'',110.0,7/8'' Dia,M20,10.56 kg,171.45,6.35,8.74,3.08 kg,1.6,89,37.5*,23*,115.9
6,280,23.9,192,168.3,87,219.0,6.35,43.0,4.0,241.3,8 Holes,3/4'',115.0,7/8'' Dia,M20,13.21 kg,193.68,6.35,8.74,3.16 kg,1.6,89,37.5*,23*,139.76
8,345,27.0,246,219.1,100,273.0,6.35,48.0,4.0,298.5,8 Holes,3/4'',120.0,7/8'' Dia,M20,23.1 kg,247.65,6.35,8.74,3.24 kg,1.6,102,37.5*,23*,182.58
10,405,28.6,305,273.0,100,330.0,6.35,52.0,4.0,362.0,12 Holes,7/8'',125.0,1'' Dia,M24,31.8 kg,304.8,6.35,8.74,7.76 kg,1.6,102,37.5*,23*,230.12
12,485,30.2,365,323.8,113,406.0,6.35,56.0,4.0,431.8,12 Holes,7/8'',135.0,1'' Dia,M24,51.14 kg,381.0,6.35,8.74,8.11 kg,1.6,115,37.5*,23*,273.0
14,535,33.4,400,355.6,125,425.0,6.35,59.0,3.0,476.3,12 Holes,1'',145.0,1+1/8'' Dia,M27,68.41 kg,396.88,6.35,8.74,11.49 kg,1.6,127,37.5*,23*,300.02
16,595,35.0,457,406.4,125,483.0,6.35,64.0,3.0,539.8,16 Holes,1'',145.0,1+1/8'' Dia,M27,85.79 kg,454.03,6.35,8.74,15.32 kg,1.6,127,37.5*,23*,344.48
18,635,38.1,505,457.2,138,546.0,6.35,68.0,3.0,577.9,16 Holes,1+1/8'',160.0,1+1/4'' Dia,M30,106.63 kg,517.53,6.35,8.74,21.02 kg,1.6,140,37.5*,23*,387.14
20,700,41.3,559,508.0,143,597.0,6.35,72.0,3.0,635.0,20 Holes,1+1/8'',170.0,1+1/4'' Dia,M30,134.52 kg,558.8,6.35,8.74,27.21 kg,1.6,145,37.5*,23*,431.8
24,815,46.1,663,610.0,151,711.0,6.35,76.0,3.0,749.3,20 Holes,1+1/4'',185.0,1+3/8'' Dia,M33,195.48 kg,673.1,6.35,8.74,35.65 kg,1.6,153,37.5*,23*,517.96
